gene,UC signature,Mendiratta signature
ARMCX4,0.002792150330527218,0.0
ARMCX5,0.005775844968786253,0.0
ARMCX6,-0.006022038284760001,0.0
ARNT,-0.004686400098548843,0.0
ARNT2,-0.019681584405101638,0.0
ARNTL,0.004914878275081087,0.0
ARNTL2,-0.0018127676123121505,0.0
ARPC1A,-0.0017350853228281478,0.0
ARPC1B,0.01651038795393969,0.0
ARPC2,-0.0021620811355153595,0.0
ARPC3,0.006871565770597522,0.0
ARPC4,-0.004977757104151145,0.0
ARPC5,-0.005725518446145819,0.0
ARPC5L,0.018084186051533988,0.0
ARPP19,-0.009161736745207755,0.0
ARPP21,-0.0012282258701857064,0.0
ARR3,-0.002843240348726114,0.0
ARRB1,0.0003726493041595573,0.0
